timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,conf_gyro,conf_acc
1669243043.6804,0.01213,0.0050615,0.0041015,1.8620001,-0.008,9.21,0.9860173374750051,0.9645675248381911
1669243043.6905,0.0102974,0.0027925,0.005236,1.7,0.106,9.2260008,0.9867944240449716,0.9921262132318163
1669243043.7004,0.0073304,-0.0005236,0.0048869,1.692,0.112,9.408,0.9751430212298766,0.9704730002470121
1669243043.7104,0.0056723,-0.0007854,0.0031416,1.5880001,0.22,9.5600004,0.9860177825417691,0.9744097377934683
1669243043.7204,0.0071559,-0.0029671,0.0061087,1.654,0.126,9.566,0.9704813919436048,0.9963910464153976
1669243043.7305,0.0062832,-0.0045379,0.0059341,1.598,0.042,9.4500008,0.9976700754903922,0.9580059893868137
1669243043.7406,0.0034907,-0.0058469,0.0047997,1.608,0.244,9.4700003,0.9883485971849049,0.9619428909728861
1669243043.7504,0.0023562,-0.0098611,0.0066323,1.6400001,-0.058,9.6740007,0.9790271188794176,0.9917979371511138
1669243043.7605,0.0033161,-0.0096866,0.0057596,1.6220001,0.11,9.802,0.9996114567150167,0.9734256969415188
1669243043.7704,0.0,-0.0088139,0.0049742,1.6240001,-0.042,9.6820002,0.9778614890244677,0.9694886641237528
1669243043.7804,0.0010472,-0.0123918,0.005236,1.7340001,0.132,9.8800001,0.978250032309451,0.9347122490045001
1669243043.7904,0.0010472,-0.0116937,0.0064577,1.7320001,0.124,10.0020008,0.9976696304236282,0.9816274481151337
1669243043.8004,-0.002618,-0.0122173,0.0055851,1.6980001,0.166,9.9280005,0.9945621742772898,0.9891733360937319
1669243043.8104,0.0032289,-0.0127409,0.0062832,1.6160001,0.014,9.8780003,0.9918437064826986,0.9534127160829136
1669243043.8205,-0.0006109,-0.0154462,0.0068068,1.5960001,0.03,9.9520006,0.9972810871386448,0.9885171776274058
1669243043.8305,-0.0040143,-0.0155334,0.0066323,1.7260001,0.12,10.0620003,0.9852411410385664,0.9458669757399701
1669243043.8404,-0.0069813,-0.0181514,0.0081158,1.6140001,0.086,10.1300001,0.9685404557857444,0.9872048770987153
1669243043.8504,-0.0094248,-0.0171042,0.0072431,1.6620001,0.142,10.0960007,0.9976696304236282,0.9885171284155211
1669243043.8605,-0.0057596,-0.0144862,0.0075922,1.552,0.084,9.9360008,0.9735892931567074,0.9461950057612485
1669243043.8705,-0.0072431,-0.0161443,0.0059341,1.562,0.208,10.0040007,0.9933974345558678,0.9668640138544866
1669243043.8804,-0.0061959,-0.0166679,0.0072431,1.6700001,0.236,10.2560005,0.9965044456354423,0.936352645170316
1669243043.8905,-0.0095993,-0.0169297,0.006545,1.784,0.022,10.3800001,0.9867944240449716,0.9960631312218508
1669243043.9004,-0.010821,-0.016057,0.0061087,1.7340001,0.216,10.2000008,0.9996114567150167,0.9940947050347569
1669243043.9105,-0.0144862,-0.0202458,0.0079412,1.7720001,0.024,10.3100004,0.9568886079038853,0.9927821912545647
1669243043.9204,-0.0181514,-0.0180642,0.0060214,1.6600001,0.184,10.368,0.9980586187753755,0.9826118662582011
1669243043.9305,-0.0152716,-0.0164934,0.0074176,1.4480001,0.068,10.2640009,0.9864058807599884,0.9291350332724203
1669243043.9405,-0.0122173,-0.0153589,0.0048869,1.4840001,0.084,10.2600002,0.9700937387921497,0.9921262132318163
